ATS,Location Code,Location Name,Latitude,Longitude,ATS System Code,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Community School Sup Name,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,BCO Location Code,in_LCGMS,geometry,BAP Rating,Accessibility Description,BAP Full URL,accessibility_match_status
13K011,K011,P.S. 011 Purvis J. Behan,40.685896,-73.96589,13K011,331300010011.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,K011,419 WAVERLY AVENUE,BROOKLYN,NY,11238.0,3019620010.0,19900.0,302.0,35.0,BK69,Clinton Hill,ABIDEMI THOMPSON,Principal,718-638-2661,718-622-3028,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8233845.210899999 4966121.210199997),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Ecl4SMQNxD9JmTS6_GVxwXQB4D6Sst67yfRoatGCkcZ8PA,Complete (Current)
17K012,K012,Dr. Jacqueline Peek-Davis School,40.673124,-73.920095,17K012,331700010012.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1993,Open,K012,430 HOWARD AVENUE,BROOKLYN,NY,11233.0,3014570032.0,36300.0,316.0,41.0,BK79,Ocean Hill,SHAMIKA WATSON,I.A. Principal,718-953-4569,718-953-4428,23.0,17.0,K817,COMMUNITY SCHOOL DISTRICT 17,SHENEAN LINDSAY,,,,,KFSS,True,POINT (-8228747.334799999 4964246.429799996),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ETeee4zF7JlAkkqHerqs5WQBt1tHxRo2eR7yJRAan3mxzQ,Complete (Current)
19K013,K013,P.S. 013 Roberto Clemente,40.664067,-73.893328,19K013,331900010013.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1975,Open,K013,557 Pennsylvania Avenue,Brooklyn,NY,11207.0,3038230001.0,112600.0,305.0,42.0,BK85,East New York (Pennsylvania Ave),Maxine Cameron,Principal,718-498-3717,718-345-2396,19.0,19.0,K819,COMMUNITY SCHOOL DISTRICT 19,TAMRA COLLINS,,,,,KFSN,True,POINT (-8225767.646 4962917.185500003),6.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EW5YpGQ8Sh5KusRa2Pj0CS4BsdIjCg8xMLnvFAiHa5B0kg,Complete (Current)
22K014,K014,J.H.S. 014 Shell Bank,40.593232,-73.938107,22K014,332200010014.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1952,Open,K014,2424 BATCHELDER STREET,BROOKLYN,NY,11235.0,3074240001.0,59600.0,315.0,48.0,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Teri Ahearn,I.A. Principal,718-743-0220,718-769-8632,22.0,22.0,K822,COMMUNITY SCHOOL DISTRICT 22,JULIA BOVE,,,,,KFSS,True,POINT (-8230752.421499999 4952527.356299996),4.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EZbVo6QRBndBm4x4n2btWL0BiCaIkqmbBTGq_nzIURxmKw,Complete (Current)
15K015,K015,P.S. 015 Patrick F. Daly,40.677085,-74.011864,15K015,331500010015.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1968,Open,K015,71 SULLIVAN STREET,BROOKLYN,NY,11231.0,3005660001.0,5300.0,306.0,38.0,BK33,Carroll Gardens-Columbia Street-Red Hook,Julie Cavanagh,Principal,718-330-9280,718-596-2576,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8238963.0131 4964827.819899999),4.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ETyE_UFaTYdGg4zbJRzd4NUBng5Be2WRbNM8Bi0l2WQRQw,Complete (Current)
14K016,K016,P.S. 016 Leonard Dunkly,40.706069,-73.962049,14K016,331400010016.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1918,Open,K016,157 WILSON STREET,BROOKLYN,NY,11211.0,3021770001.0,53500.0,301.0,33.0,BK72,Williamsburg,Sherise Michael Coleman,Principal,718-782-5352,718-486-8447,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8233417.6327 4969083.103100002),3.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EdDP3H7_InRKtTFPPsZqqKYBzgrSzlHaRbSXmgUdHcURYA,Complete (Current)
14K017,K017,P.S. 017 Henry D. Woodworth,40.715268,-73.9573,14K017,331400010017.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1921,Open,K017,208 NORTH 5 STREET,BROOKLYN,NY,11211.0,3023450001.0,51900.0,301.0,34.0,BK73,North Side-South Side,Anthony Pignataro,Principal,718-387-2929,718-302-2311,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8232888.976399999 4970434.0405),N/A,No Accessibility,TBD,Complete (Raw Backup)
14K018,K018,P.S. 018 Edward Bush,40.71088,-73.946695,14K018,331400010018.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1916,Open,K018,101 MAUJER STREET,BROOKLYN,NY,11206.0,3027870001.0,50300.0,301.0,34.0,BK90,East Williamsburg,Victor Garcia,Principal,718-387-3241,718-599-7744,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8231708.4332 4969789.608800001),2.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EbdEQg66eVlLoEGTvt0KZrgBtcgD71Cmbm_aVUPawsxKKg,Complete (Current)
13K020,K020,P.S. 020 Clinton Hill,40.690742,-73.970896,13K020,331300010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1951,Open,K020,225 Adelphi Street,Brooklyn,NY,11205.0,3020910003.0,18300.0,302.0,35.0,BK68,Fort Greene,Nicole Blyden,Principal,718-834-6744,718-243-0712,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8234402.476199999 4966832.6404),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K021,K021,P.S. 021 Crispus Attucks,40.68035,-73.926673,16K021,331600010021.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1956,Open,K021,180 CHAUNCEY STREET,BROOKLYN,NY,11233.0,3016920017.0,38100.0,303.0,36.0,BK61,Crown Heights North,BEVON THOMPSON,Principal,718-493-9681,718-953-3980,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8229479.5944 4965307.078000002),N/A,No Accessibility,TBD,Complete (Raw Backup)
14K023,K023,P.S. 023 Carter G. Woodson,40.69447,-73.947256,14K023,331400010023.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1966,Open,K023,545 WILLOUGHBY AVENUE,BROOKLYN,NY,11206.0,3017590013.0,25901.0,303.0,36.0,BK75,Bedford,Joseph Mattina,Principal,718-387-0375,718-302-2312,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8231770.8835 4967379.974799998),3.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EfoHm3YOr8NJuQyAPQMrTqUBRXIaEct1NGAu4TehibwnIg,Complete (Current)
15K024,K024,P.S. 024,40.652832,-74.004533,15K024,331500010024.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1997,Open,K024,427 38 STREET,BROOKLYN,NY,11232.0,3007010001.0,8400.0,307.0,38.0,BK32,Sunset Park West,Maria Diaz,Principal,718-832-9366,718-832-9360,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8238146.93 4961268.539499998),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EU7b-p9QMjNJn4tR3Pg9XEEBGescFqNb_lr0ElPgnT3sjQ,Complete (Current)
16K025,K025,P.S. 025 Eubie Blake School,40.691472,-73.940749,,,,,,,,,,K025,,,,,,,,,,,,,,,,,,,,,,,,,False,POINT (-8231046.5276 4966939.814599998),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K026,K026,P.S. 026 Jesse Owens,40.6921,-73.9317,16K026,331600010026.0,DOE,General Academic,Elementary,"PK,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1956,Open,K026,1014 LAFAYETTE AVENUE,BROOKLYN,NY,11221.0,3016160001.0,29100.0,303.0,36.0,BK35,Stuyvesant Heights,Diana Funtleyder,Principal,718-919-5707,718-574-2803,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8230039.1975 4967032.014600001),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EXEMQOf2MX1KpBOwwBWi2z8BpQD3aZDUU2u72uNPXaIz3A,Complete (Current)
15K029,K029,P.S. 029 John M. Harrigan,40.686843,-73.997447,15K029,331500010029.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1921,Open,K029,425 HENRY STREET,BROOKLYN,NY,11201.0,3003110001.0,4500.0,306.0,39.0,BK33,Carroll Gardens-Columbia Street-Red Hook,Rebecca Fagin,Principal,718-330-9277,718-596-1887,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8237358.119999999 4966260.233000003),N/A,No Accessibility,TBD,Complete (Raw Backup)
20K030,K030,P.S./I.S. 30 Mary White Ovington,40.633598,-74.02395,20K030,332000010030.0,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",Sep 11 1997,Open,K331,7002 4 Avenue,Brooklyn,NY,11209.0,3058910048.0,6800.0,310.0,43.0,BK31,Bay Ridge,Carol Heeraman,Principal,718-491-8440,718-491-8445,20.0,20.0,K820,COMMUNITY SCHOOL DISTRICT 20,"PRETTO, DAVID",,,,,KFSS,True,POINT (-8240308.420499999 4958446.7487),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EXhDqTmP0ttInIxlrBGgwcMBn3Yt0TKEa97LCTNtLn1yiw,Complete (Current)
14K031,K031,P.S. 031 Samuel F. Dupont,40.72697,-73.954139,14K031,331400010031.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1900,Open,K031,75 MESEROLE AVENUE,BROOKLYN,NY,11222.0,3025950001.0,56100.0,301.0,33.0,BK76,Greenpoint,MARY SCARLATO,Principal,718-383-8998,718-383-5652,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8232537.0955 4972152.830799997),N/A,No Accessibility,TBD,Complete (Raw Backup)
15K032,K032,P.S. 032 Samuel Mills Sprole,40.680159,-73.991141,15K032,331500010032.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1951,Open,K032,420 Union Street,Brooklyn,NY,11231.0,3004370001.0,7500.0,306.0,39.0,BK33,Carroll Gardens-Columbia Street-Red Hook,DENISE WATSON,Principal,718-222-6400,718-222-6405,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8236656.1393 4965279.041199997),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EWklPzO42sNEloQEb4UHZ10BL_yKJARNPyz2Qr-u5XwmGQ,Complete (Current)
14K034,K034,P.S. 034 Oliver H. Perry,40.726378,-73.949756,14K034,331400010034.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1867,Open,K034,131 NORMAN AVENUE,BROOKLYN,NY,11222.0,3026220028.0,57300.0,301.0,33.0,BK76,Greenpoint,Alain Beugoms,Principal,718-389-5842,718-389-0356,14.0,14.0,K814,COMMUNITY SCHOOL DISTRICT 14,DAVID CINTRON,,,,,KFSN,True,POINT (-8232049.1822 4972065.870499998),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K035,K035,M.S. 035 Stephen Decatur,40.681528,-73.935891,16K035,331600010035.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1926,Open,K035,272 Macdonough Street,Brooklyn,NY,11233.0,3016740011.0,27300.0,303.0,36.0,BK35,Stuyvesant Heights,JACQUELINE CHARLES,Principal,718-574-2345,718-452-1273,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8230505.737500001 4965479.998400003),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EVHZzDJHQvpNtz0qX1yZp74BI7SDqAaWaGpFLK46PnAo_g,Complete (Current)
75K036,K036,P.S. 36,40.660465,-73.887195,75K036,307500013036.0,DOE,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12,SE",Jun 26 1989,Open,K857,2045 Linden Boulevard,Brooklyn,NY,11207.0,3043270024.0,110400.0,305.0,42.0,BK82,East New York,Kevin Lenahan,Principal,718-272-6483,718-272-6287,19.0,75.0,DA75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",,,,,D075,True,POINT (-8225084.9235 4962388.5907000005),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EW9Vr3MM68lGgKOqyoqCh_wB7U39G832LtmRqimPalorXA,Complete (Current)
84K037,K037,Beginning with Children Charter School II,40.703996,-73.953304,84K037,331400861021.0,Charter,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08",Jul 1 2012,Open,K071,215 Heyward Street,Brooklyn,NY,11206.0,3022270001.0,52900.0,301.0,33.0,BK72,Williamsburg,Mike Ferrara/Yvette Ferrara,Principal,718-302-7700,,14.0,84.0,,OFFICE OF CHARTER SCHOOLS,,,,,,,True,POINT (-8232444.1438 4968778.694300003),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ET-lZQ8DOTlMlqFH5v_0_2IBmku0QWHqW6lIvQW53pFwnQ,Complete (Current)
15K038,K038,P.S. 038 The Pacific,40.684945,-73.982826,15K038,331500010038.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1965,Open,K038,450 PACIFIC STREET,BROOKLYN,NY,11217.0,3001910001.0,3900.0,302.0,33.0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,PASCALE PRADEL,I.A. Principal,718-330-9305,718-802-9542,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8235730.5178 4965981.6021),N/A,No Accessibility,TBD,Complete (Raw Backup)
15K039,K039,P.S. 039 Henry Bristow,40.668644,-73.982909,15K039,331500010039.0,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1877,Open,K039,417 6 AVENUE,BROOKLYN,NY,11215.0,3010000001.0,15300.0,306.0,39.0,BK37,Park Slope-Gowanus,SARA PANAG,I.A. Principal,718-330-9310,718-832-2010,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8235739.757300001 4963588.903099999),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K040,K040,P.S. 040 George W. Carver,40.680239,-73.921099,16K040,331600010040.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1965,Open,K040,265 RALPH AVENUE,BROOKLYN,NY,11233.0,3015180001.0,37900.0,303.0,41.0,BK35,Stuyvesant Heights,Louise Antoine,Principal,718-574-2353,718-453-0686,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8228859.0996 4965290.7842999995),N/A,No Accessibility,TBD,Complete (Raw Backup)
23K041,K041,P.S. 041 Francis White,40.660455,-73.906925,23K041,332300010041.0,DOE,General Academic,Elementary,"PK,01,02,03,04,05,SE","0K,01,02,03,04,05,06,07,08",Jul 1 1965,Open,K041,411 Thatford Avenue,Brooklyn,NY,11212.0,3036040001.0,91800.0,316.0,42.0,BK81,Brownsville,Laura Onwuka,Principal,718-495-7732,718-346-2141,23.0,23.0,K823,COMMUNITY SCHOOL DISTRICT 23,Khalek Kirkland,,,,,KFSN,True,POINT (-8227281.257099999 4962387.123300001),2.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EVdCwVxyK_NMjzKDLdoHbYcBeWFO6NWEw4SrhXBb6w_r_A,Complete (Current)
13K044,K044,P.S. 044 Marcus Garvey,40.686213,-73.940859,13K044,331300010044.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1951,Open,K044,432 MONROE STREET,BROOKLYN,NY,11221.0,3018210001.0,27700.0,303.0,36.0,BK35,Stuyvesant Heights,Latisha Cotton,Principal,718-834-6939,718-574-8501,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8231058.772700001 4966167.746699996),N/A,No Accessibility,TBD,Complete (Raw Backup)
32K045,K045,P.S./I.S. 045 Horace E. Greene,40.686424,-73.91043,32K045,333200010045.0,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE",Jul 1 1966,Open,K045,84 SCHAEFER STREET,BROOKLYN,NY,11207.0,3034270011.0,40100.0,304.0,37.0,BK78,Bushwick South,NADINE MARSHALL,I.A. Principal,718-642-5360,718-574-1043,32.0,32.0,K832,COMMUNITY SCHOOL DISTRICT 32,Arelis Parache,,,,,KFSN,True,POINT (-8227671.4319 4966198.722199999),N/A,No Accessibility,TBD,Complete (Raw Backup)
13K046,K046,P.S. 046 Edward C. Blum,40.69453,-73.971644,13K046,331300010046.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1960,Open,K046,100 CLERMONT AVENUE,BROOKLYN,NY,11205.0,3020450011.0,18700.0,302.0,35.0,BK68,Fort Greene,Alex Braverman,Principal,718-834-7694,718-243-0726,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8234485.7432 4967388.784100004),N/A,No Accessibility,TBD,Complete (Raw Backup)
