Geographical District Code,Borough,Building Code,Location Code,School DBN,Unnamed: 5,School Name,Grades Served,Pre-K,Address,Accessibility Description,BAP Rating
8,Bronx,X052,X487,84X487,,Girls Preparatory Charter School of the Bronx,K-8,Yes,681 Kelly Street,Partially Accessible,1 out of 10
8,Bronx,X060,X010,75X010,,P.S. X010,K-12 all grades,Yes,888 Rev J A Polite Ave,Partially Accessible,1 out of 10
8,Bronx,X060,X333,08X333,,The Longwood Academy of Discovery,Elementary,Yes,888 Rev J A Polite Ave,Partially Accessible,1 out of 10
8,Bronx,X072,X072,08X072,,P.S. 072 Dr. William Dorney,Elementary,Yes,2951 Dewey Avenue,Fully Accessible,9 out of 10
8,Bronx,X074,X345,84X345,,Leaders In Our Neighborhood Charter School,K-12 all grades,,730 Bryant Avenue,Partially Accessible,8 out of 10
8,Bronx,X074,X352,75X352,,The Vida Bogart School for All Children,K-8,Yes,730 Bryant Avenue,Partially Accessible,8 out of 10
8,Bronx,X074,X424,08X424,,Bronx Academy for Multi-Media,Junior High-Intermediate-Middle,,730 Bryant Avenue,Partially Accessible,8 out of 10
8,Bronx,X101,X010,75X010,,P.S. X010,K-12 all grades,Yes,2750 Lafayette Avenue,Partially Accessible,4 out of 10
8,Bronx,X101,X101,08X101,,M.S. X101 Edward R. Byrne,Junior High-Intermediate-Middle,,2750 Lafayette Avenue,Partially Accessible,4 out of 10
8,Bronx,X101,X304,08X304,,P.S. 304 Early Childhood School,Elementary,Yes,2750 Lafayette Avenue,Partially Accessible,4 out of 10
8,Bronx,X125,X012,75X012,,P.S. X012 Lewis and Clark School,Secondary School,,1111 Pugsley Avenue,Partially Accessible,1 out of 10
8,Bronx,X125,X119,08X119,,The Dr. Emmett W. Bassett School,Elementary,Yes,1111 Pugsley Avenue,Partially Accessible,1 out of 10
8,Bronx,X125,X562,08X562,,Pugsley Preparatory Academy,Junior High-Intermediate-Middle,,1111 Pugsley Avenue,Partially Accessible,1 out of 10
8,Bronx,X131,X131,08X131,,J.H.S. 131 Albert Einstein,Junior High-Intermediate-Middle,,885 Bolton Avenue,Partially Accessible,1 out of 10
8,Bronx,X131,X448,08X448,,Soundview Academy for Culture and Scholarship,Junior High-Intermediate-Middle,,885 Bolton Avenue,Partially Accessible,1 out of 10
8,Bronx,X131,X464,84X464,,Success Academy Charter School - Bronx 4,Elementary,,885 Bolton Avenue,Partially Accessible,1 out of 10
8,Bronx,X152,X152,08X152,,P.S. 152 Evergreen,Elementary,Yes,1007 Evergreen Avenue,Partially Accessible,1 out of 10
8,Bronx,X174,X017,75X017,,P.S. X017,K-12 all grades,,456 White Plains Road,Partially Accessible,1 out of 10
8,Bronx,X174,X282,08X282,,Women's Academy of Excellence,High school,,456 White Plains Road,Partially Accessible,1 out of 10
8,Bronx,X174,X367,08X367,,"Archimedes Academy for Math, Science and Technology Applications",Secondary School,,456 White Plains Road,Partially Accessible,1 out of 10
8,Bronx,X174,X375,08X375,,The Bronx Mathematics Preparatory School,Junior High-Intermediate-Middle,,456 White Plains Road,Partially Accessible,1 out of 10
8,Bronx,X192,X371,08X371,,Urban Institute of Mathematics,Junior High-Intermediate-Middle,,650 Hollywood Avenue,Partially Accessible,8 out of 10
8,Bronx,X192,X392,08X392,,Bronx Delta School,Elementary,Yes,650 Hollywood Avenue,Partially Accessible,8 out of 10
8,Bronx,X192,X467,08X467,,Mott Hall Community School,Junior High-Intermediate-Middle,,650 Hollywood Avenue,Partially Accessible,8 out of 10
8,Bronx,X317,X583,08X583,,P.S. 583,Elementary,Yes,1028 White Plains Road,Fully Accessible,10 out of 10
8,Bronx,X392,X186,75X186,,P186X Walter J. Damrosch School,K-8,,928 Simpson Street,Fully Accessible,10 out of 10
8,Bronx,X392,X269,08X269,,Bronx Studio School for Writers and Artists,Secondary School,,928 Simpson Street,Fully Accessible,10 out of 10
8,Bronx,X450,X017,75X017,,P.S. X017,K-12 all grades,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X312,08X312,,Millennium Art Academy,High school,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X376,08X376,,Antonia Pantoja Preparatory Academy: A College Board School,Secondary School,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X377,08X377,,Bronx Community High School,High school,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X432,08X432,,Bronx Bridges High School,High school,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X452,08X452,,Gotham Collaborative High School,High school,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X450,X561,08X561,,Bronx Compass High School,High school,,1980 Lafayette Avenue,Partially Accessible,6 out of 10
8,Bronx,X650,X202,84X202,,New Visions Charter High School for Advanced Math and Science II,High school,,900 Tinton Avenue,Fully Accessible,9 out of 10
8,Bronx,X650,X208,84X208,,New Visions Charter High School for the Humanities II,High school,,900 Tinton Avenue,Fully Accessible,9 out of 10
8,Bronx,X972,X537,08X537,,Bronx Arena High School,High school,,1440 Story Avenue,Fully Accessible,10 out of 10
8,Bronx,X972,X730,84X730,,Bronx Charter School for the Arts,K-8,,1440 Story Avenue,Fully Accessible,10 out of 10
9,Bronx,X011,X011,09X011,,P.S. 011 Highbridge,Elementary,Yes,1257 Ogden Avenue,Partially Accessible,3 out of 10
9,Bronx,X022,X022,09X022,,J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,,270 East 167 Street,Partially Accessible,1 out of 10
9,Bronx,X022,X323,09X323,,Bronx Writing Academy,Junior High-Intermediate-Middle,,270 East 167 Street,Partially Accessible,1 out of 10
9,Bronx,X022,X494,84X494,,Success Academy Charter School - Bronx 2,K-8,,270 East 167 Street,Partially Accessible,1 out of 10
9,Bronx,X082,X232,09X232,,I.S. 232,Junior High-Intermediate-Middle,,1700 Macombs Road,Fully Accessible,9 out of 10
9,Bronx,X082,X303,09X303,,I.S. X303 Leadership & Community Service,Junior High-Intermediate-Middle,,1700 Macombs Road,Fully Accessible,9 out of 10
9,Bronx,X082,X365,09X365,,Academy for Language and Technology,High school,,1700 Macombs Road,Fully Accessible,9 out of 10
9,Bronx,X090,X443,09X443,,The Family School,Elementary,Yes,1116 Sheridan Avenue,Partially Accessible,3 out of 10
9,Bronx,X090,X457,09X457,,Sheridan Academy for Young Leaders,Elementary,Yes,1116 Sheridan Avenue,Partially Accessible,3 out of 10
9,Bronx,X132,X132,09X132,,P.S. 132 Garret A. Morgan,Elementary,Yes,1245 Washington Avenue,Partially Accessible,8 out of 10
9,Bronx,X147,X313,09X313,,I.S. 313 School of Leadership Development,Junior High-Intermediate-Middle,,1600 Webster Avenue,Partially Accessible,1 out of 10
9,Bronx,X147,X339,09X339,,I.S. 339,Junior High-Intermediate-Middle,,1600 Webster Avenue,Partially Accessible,1 out of 10
9,Bronx,X147,X469,75X469,,The Bronx School for Continuous Learners,K-12 all grades,,1600 Webster Avenue,Partially Accessible,1 out of 10
9,Bronx,X166,X324,09X324,,Bronx Early College Academy for Teaching & Learning,Secondary School,,250 East 164 Street,Fully Accessible,9 out of 10
9,Bronx,X166,X449,09X449,,Grant Avenue Elementary School,Elementary,Yes,250 East 164 Street,Fully Accessible,9 out of 10
9,Bronx,X166,X454,09X454,,Science and Technology Academy: A Mott Hall School,Junior High-Intermediate-Middle,,250 East 164 Street,Fully Accessible,9 out of 10
9,Bronx,X173,X236,09X236,,P.S. 236 Langston Hughes,Elementary,Yes,1871 Walton Avenue,Fully Accessible,10 out of 10
9,Bronx,X229,X229,09X229,,I.S. 229 Roland Patterson,Junior High-Intermediate-Middle,,275 Harlem River Park Bridge,Partially Accessible,8 out of 10
9,Bronx,X229,X274,09X274,,The New American Academy at Roberto Clemente State Park,Elementary,Yes,275 Harlem River Park Bridge,Partially Accessible,8 out of 10
9,Bronx,X235,X218,09X218,,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,,1220 Gerard Avenue,Fully Accessible,10 out of 10
9,Bronx,X235,X723,75X723,,P.S. 723,K-12 all grades,,1220 Gerard Avenue,Fully Accessible,10 out of 10
9,Bronx,X240,X010,75X010,,P.S. X010,K-12 all grades,Yes,1501 Jerome Avenue,Fully Accessible,10 out of 10
9,Bronx,X240,X327,09X327,,Comprehensive Model School Project M.S. 327,Secondary School,,1501 Jerome Avenue,Fully Accessible,10 out of 10
9,Bronx,X240,X555,09X555,,Mount Eden Children's Academy,Elementary,Yes,1501 Jerome Avenue,Fully Accessible,10 out of 10
9,Bronx,X285,X361,09X361,,The Highbridge Green School,Junior High-Intermediate-Middle,,200 West 167Th Street,Fully Accessible,10 out of 10
9,Bronx,X338,X204,09X204,,P.S. 204 Morris Heights,Elementary,Yes,1780 Dr. Martin Luther King Jr. Blvd,Fully Accessible,10 out of 10
9,Bronx,X338,X723,75X723,,P.S. 723,K-12 all grades,,1780 Dr. Martin Luther King Jr. Blvd,Fully Accessible,10 out of 10
9,Bronx,X400,X297,09X297,,Morris Academy for Collaborative Studies,High school,,1110 Boston Road,Partially Accessible,6 out of 10
9,Bronx,X400,X403,09X403,,Bronx International High School,High school,,1110 Boston Road,Partially Accessible,6 out of 10
9,Bronx,X400,X404,09X404,,School for Excellence,High school,,1110 Boston Road,Partially Accessible,6 out of 10
9,Bronx,X400,X543,09X543,,High School for Violin and Dance,High school,,1110 Boston Road,Partially Accessible,6 out of 10
9,Bronx,X410,X227,09X227,,Bronx Collegiate Academy,High school,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X329,09X329,,DreamYard Preparatory School,High school,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X350,09X350,,New Directions Secondary School,High school,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X412,09X412,,Bronx High School of Business,High school,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X413,09X413,,Bronx High School for Medical Science,Secondary School,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X469,75X469,,The Bronx School for Continuous Learners,K-12 all grades,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X410,X564,09X564,,Claremont International HS,High school,,240 East 172 Street,Partially Accessible,6 out of 10
9,Bronx,X460,X505,09X505,,"Bronx School for Law, Government and Justice",Secondary School,,244 East 163 Street,Fully Accessible,10 out of 10
9,Bronx,X465,X231,09X231,,Eagle Academy for Young Men,Secondary School,,4143 Third Avenue,Fully Accessible,10 out of 10
9,Bronx,X876,X525,09X525,,Bronx Leadership Academy High School,High school,,1710 Webster Avenue,Fully Accessible,9 out of 10
9,Bronx,X970,X241,09X241,,"Urban Assembly School for Applied Math and Science, The",Secondary School,,1595 Bathgate Avenue,Fully Accessible,10 out of 10
9,Bronx,X970,X252,09X252,,Mott Hall Bronx High School,High school,,1595 Bathgate Avenue,Fully Accessible,10 out of 10
9,Bronx,X970,X263,09X263,,Validus Preparatory Academy,High school,,1595 Bathgate Avenue,Fully Accessible,10 out of 10
10,Bronx,X003,X003,10X003,,P.S. 3 Raul Julia Micro Society,K-8,Yes,2100 Lafontaine Avenue,Fully Accessible,10 out of 10
10,Bronx,X009,X009,10X009,,P.S. 9 Ryer Avenue Elementary School,Elementary,Yes,230 East 183 Street,Fully Accessible,9 out of 10
10,Bronx,X015,X010,75X010,,P.S. X010,K-12 all grades,Yes,2195 Andrews Avenue,Fully Accessible,10 out of 10
10,Bronx,X015,X015,10X015,,P.S. X015 Institute for Environmental Learning,K-8,,2195 Andrews Avenue,Fully Accessible,10 out of 10
10,Bronx,X015,X291,10X291,,P.S. 291,Elementary,,2195 Andrews Avenue,Fully Accessible,10 out of 10
10,Bronx,X020,X020,10X020,,"PS/MS 20 P.O.George J. Werdann, III",K-8,Yes,3050 Webster Avenue,Fully Accessible,10 out of 10
10,Bronx,X020,X168,75X168,,P.S. 168,K-12 all grades,Yes,3050 Webster Avenue,Fully Accessible,10 out of 10
10,Bronx,X023,X023,10X023,,P.S. 023 The New Children's School,Elementary,Yes,2151 Washington Avenue,Fully Accessible,9 out of 10
10,Bronx,X034,X188,75X188,,P.S. X188,K-12 all grades,Yes,770 Grote Street,Fully Accessible,10 out of 10
10,Bronx,X034,X754,75X754,,J. M. Rapport School Career Development,High school,,770 Grote Street,Fully Accessible,10 out of 10
10,Bronx,X037,X037,10X037,,P.S. X037 - Multiple Intelligence School,K-8,,360 West 230 Street,Fully Accessible,10 out of 10
10,Bronx,X046,X046,10X046,,P.S. 046 Edgar Allan Poe,Elementary,Yes,279 East 196 Street,Fully Accessible,10 out of 10
10,Bronx,X046,X469,75X469,,The Bronx School for Continuous Learners,K-12 all grades,,279 East 196 Street,Fully Accessible,10 out of 10
10,Bronx,X054,X054,10X054,,P.S./I.S. 54,Elementary,Yes,2703 Webster Avenue,Fully Accessible,10 out of 10
10,Bronx,X056,X056,10X056,,P.S. 056 Norwood Heights,Elementary,,341 East 207 Street,Fully Accessible,10 out of 10
10,Bronx,X079,X382,10X382,,"Elementary School for Math, Science, and Technology",Elementary,,125 East 181 Street,Fully Accessible,9 out of 10
10,Bronx,X079,X386,10X386,,School for Environmental Citizenship,Elementary,Yes,125 East 181 Street,Fully Accessible,9 out of 10
10,Bronx,X079,X447,10X447,,Creston Academy,Junior High-Intermediate-Middle,,125 East 181 Street,Fully Accessible,9 out of 10
10,Bronx,X080,X080,10X080,,J.H.S. 080 The Mosholu Parkway,Junior High-Intermediate-Middle,,149 East Mosholu Pkwy N,Partially Accessible,8 out of 10
10,Bronx,X080,X280,10X280,,P.S./M.S. 280 Mosholu Parkway,K-8,,149 East Mosholu Pkwy N,Partially Accessible,8 out of 10
10,Bronx,X085,X085,10X085,,P.S. 085 Great Expectations,Elementary,Yes,2400 Marion Avenue,Partially Accessible,3 out of 10
10,Bronx,X086,X086,10X086,,P.S. 086 Kingsbridge Heights,Elementary,Yes,2756 Reservoir Avenue,Partially Accessible,1 out of 10
10,Bronx,X095,X095,10X095,,P.S. 095 Sheila Mencher,K-8,,3961 Hillman Avenue,Fully Accessible,9 out of 10
10,Bronx,X095,X344,10X344,,Ampark Neighborhood,Elementary,Yes,3961 Hillman Avenue,Fully Accessible,9 out of 10
10,Bronx,X115,X363,10X363,,Academy For Personal Leadership And Excellence ,Junior High-Intermediate-Middle,,120 East 184 Street,Partially Accessible,3 out of 10
10,Bronx,X118,X118,10X118,,J.H.S. 118 William W. Niles,Junior High-Intermediate-Middle,,577 East 179 Street,Partially Accessible,4 out of 10
10,Bronx,X137,X225,10X225,,Theatre Arts Production Company School,Secondary School,,2225 Webster Avenue,Partially Accessible,4 out of 10
10,Bronx,X137,X391,10X391,,The Angelo Patri Middle School,Junior High-Intermediate-Middle,,2225 Webster Avenue,Partially Accessible,4 out of 10
10,Bronx,X141,X141,10X141,,Riverdale / Kingsbridge Academy (Middle School / High School 141),Secondary School,,660 West 237 Street,Fully Accessible,9 out of 10
10,Bronx,X177,X077,10X077,,Bedford Park Elementary School,Elementary,Yes,3177 Webster Avenue,Fully Accessible,10 out of 10
10,Bronx,X177,X469,75X469,,The Bronx School for Continuous Learners,K-12 all grades,,3177 Webster Avenue,Fully Accessible,10 out of 10
10,Bronx,X205,X205,10X205,,P.S. 205 Fiorello LaGuardia,Elementary,,2475 Southern Boulevard,Partially Accessible,1 out of 10
10,Bronx,X209,X209,10X209,,P.S. 209,Early Childhood,Yes,313 East 183 Street,Fully Accessible,10 out of 10
10,Bronx,X211,X319,10X319,,Providing Urban Learners Success In Education High School,High school,,560 East 179 Street,Partially Accessible,1 out of 10
10,Bronx,X254,X254,10X254,,I.S. 254,Junior High-Intermediate-Middle,,2452 Washington Avenue,Fully Accessible,10 out of 10
10,Bronx,X279,X279,10X279,,"P.S. 279 Captain Manuel Rivera, Jr.",K-8,,2100 Walton Avenue,Fully Accessible,10 out of 10
10,Bronx,X283,X228,10X228,,Jonas Bronck Academy,Junior High-Intermediate-Middle,,400 East Fordham Road,Fully Accessible,9 out of 10
10,Bronx,X306,X186,75X186,,P186X Walter J. Damrosch School,K-8,,40 West Tremont Avenue,Fully Accessible,10 out of 10
10,Bronx,X306,X306,10X306,,P.S. 306,Elementary,,40 West Tremont Avenue,Fully Accessible,10 out of 10
10,Bronx,X306,X331,10X331,,The Bronx School of Young Leaders,Junior High-Intermediate-Middle,,40 West Tremont Avenue,Fully Accessible,10 out of 10
10,Bronx,X340,X340,10X340,,P.S. 340,Elementary,Yes,25 West 195 Street,Fully Accessible,9 out of 10
10,Bronx,X360,X360,10X360,,P.S. 360,Elementary,Yes,2880 Kingsbridge Terrace,Fully Accessible,10 out of 10
10,Bronx,X368,X368,10X368,,In-Tech Academy (M.S. / High School 368),Secondary School,,2975 Tibbett Avenue,Fully Accessible,10 out of 10
10,Bronx,X368,X721,75X721,,P.S. X721 - Stephen McSweeney School,High school,,2975 Tibbett Avenue,Fully Accessible,10 out of 10
10,Bronx,X430,X268,10X268,,Kingsbridge International High School,High school,,2780 Reservoir Avenue,Fully Accessible,9 out of 10
10,Bronx,X430,X342,10X342,,International School for Liberal Arts,Secondary School,,2780 Reservoir Avenue,Fully Accessible,9 out of 10
10,Bronx,X430,X433,10X433,,High School for Teaching and the Professions,High school,,2780 Reservoir Avenue,Fully Accessible,9 out of 10
10,Bronx,X430,X442,10X442,,"Celia Cruz Bronx High School of Music, The",High school,,2780 Reservoir Avenue,Fully Accessible,9 out of 10
10,Bronx,X430,X549,10X549,,Discovery High School,High school,,2780 Reservoir Avenue,Fully Accessible,9 out of 10
10,Bronx,X435,X243,10X243,,West Bronx Academy for the Future,Secondary School,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X435,X374,10X374,,Knowledge and Power Preparatory Academy International High School (Kappa),High school,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X435,X434,10X434,,Belmont Preparatory High School,High school,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X435,X437,10X437,,Fordham High School for the Arts,High school,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X435,X438,10X438,,Fordham Leadership Academy,High school,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X435,X439,10X439,,Bronx High School for Law and Community Service,High school,,500 East Fordham Road,Partially Accessible,8 out of 10
10,Bronx,X440,X168,75X168,,P.S. 168,K-12 all grades,Yes,100 West Mosholu Parkway South,Partially Accessible,6 out of 10
10,Bronx,X440,X351,10X351,,Bronx Collaborative High School,High school,,100 West Mosholu Parkway South,Partially Accessible,6 out of 10
10,Bronx,X440,X353,10X353,,World View High School,High school,,100 West Mosholu Parkway South,Partially Accessible,6 out of 10
10,Bronx,X440,X440,10X440,,DeWitt Clinton High School,High school,,100 West Mosholu Parkway South,Partially Accessible,6 out of 10
10,Bronx,X440,X721,75X721,,P.S. X721 - Stephen McSweeney School,High school,,100 West Mosholu Parkway South,Partially Accessible,6 out of 10
10,Bronx,X445,X445,10X445,,The Bronx High School of Science,High school,,75 West 205 Street,Partially Accessible,4 out of 10
10,Bronx,X475,X213,10X213,,Bronx Engineering and Technology Academy,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X284,10X284,,Bronx School of Law and Finance,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X397,10X397,,English Language Learners and International Support Preparatory Academy (ELLIS),High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X477,10X477,,Marble Hill High School for International Studies,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X539,84X539,,New Visions Charter High School for Advanced Math and Science,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X546,10X546,,Bronx Theatre High School,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X475,X553,84X553,,New Visions Charter High School for the Humanities,High school,,99 Terrace View Avenue,Partially Accessible,6 out of 10
10,Bronx,X660,X264,10X264,,Bronx Academy for Software Engineering (BASE),High school,,2474 Crotona Avenue,Partially Accessible,5 out of 10
10,Bronx,X660,X524,10X524,,Crotona International High School,High school,,2474 Crotona Avenue,Partially Accessible,5 out of 10
10,Bronx,X660,X565,10X565,,High School for Energy and Technology,High school,,2474 Crotona Avenue,Partially Accessible,5 out of 10
10,Bronx,X781,X051,10X051,,The Bronx STEM and Arts Academy,Elementary,Yes,695 East 182 Street,Partially Accessible,1 out of 10
10,Bronx,X826,X226,10X226,,P.S. 226,Elementary,Yes,1950 Sedgwick Avenue,Fully Accessible,9 out of 10
10,Bronx,X843,X246,10X246,,P.S. 246 Poe Center,Elementary,,2641 Grand Concourse,Partially Accessible,1 out of 10
10,Bronx,X852,X308,10X308,,Bronx Dance Academy School,Junior High-Intermediate-Middle,,3617 Bainbridge Avenue,Fully Accessible,9 out of 10
10,Bronx,X886,X307,10X307,,Luisa Pineiro Fuentes School of Science and Discovery,Elementary,,124 Eames Place,Partially Accessible,5 out of 10
10,Bronx,X905,X696,10X696,,High School of American Studies at Lehman College,High school,,2925 Goulden Avenue,Fully Accessible,10 out of 10
11,Bronx,X019,X019,11X019,,P.S. 019 Judith K. Weiss,K-8,Yes,311 East 237 Street,Fully Accessible,9 out of 10
11,Bronx,X068,X068,11X068,,P.S. 068 Bronx,Elementary,Yes,4011 Monticello Avenue,Partially Accessible,4 out of 10
11,Bronx,X083,X083,11X083,,P.S. 083 Donald Hertz,K-8,,950 Rhinelander Avenue,Fully Accessible,9 out of 10
11,Bronx,X096,X096,11X096,,P.S. 096 Richard Rodgers,Elementary,Yes,2385 Olinville Avenue,Fully Accessible,10 out of 10
11,Bronx,X097,X097,11X097,,P.S. 097 Bronx,Elementary,Yes,1375 Mace Avenue,Fully Accessible,9 out of 10
11,Bronx,X105,X105,11X105,,P.S. 105 Sen Abraham Bernstein,Elementary,Yes,725 Brady Avenue,Partially Accessible,6 out of 10
